date,overdose_count,time,intervention,time_after
2024-01-01,43,1,1,0
2024-02-01,48,2,1,1
2024-03-01,51,3,1,2
2024-04-01,61,4,1,3
2024-05-01,37,5,1,4
2024-06-01,49,6,1,5
2024-07-01,53,7,1,6
2024-08-01,38,8,1,7
2024-09-01,55,9,1,8
2024-10-01,47,10,1,9
2024-11-01,46,11,1,10
2024-12-01,51,12,1,11
2025-01-01,54,13,1,12
2025-02-01,50,14,1,13
2025-03-01,78,15,1,14
2025-04-01,58,16,1,15
2025-05-01,66,17,1,16
2025-06-01,53,18,1,17
2025-07-01,57,19,1,18
2025-08-01,53,20,1,19
2025-09-01,62,21,1,20
2025-10-01,45,22,1,21
2025-11-01,38,23,1,22
2025-12-01,42,24,1,23
